LevelPath,AgentName,GameStatus,Completion,Lives,Coins,TimeLeft,Mushrooms,FireFlowers,TileCoins,BricksDestroyed,Jumps,MaxXJump,MaxJumpAirTime,KillsTotal,KillsStomp,KillsFire,KillsShell,KillsFall,Coherence,Leniency,Linearity,GroundSegments,StructuralDiversity,UnjumpableHoles,TotalVerticalHoles,LargeVerticalHolesDetail
"./levels/generated/GANGeneratorTF/8.txt","RobinBaumgartenAgent",WIN,100.00,0,0,14,0,0,0,0,6,152.73,13,2,0,0,0,2,1.00,-43,0.973260,17,37.00,0,8,""
"./levels/generated/GANGeneratorTF/1.txt","RobinBaumgartenAgent",LOSE,43.31,0,0,17,0,0,0,0,4,119.97,10,0,0,0,0,0,0.59,-41,0.913262,11,21.00,2,8,"[56-62:7];[84-89:6];[91-112:22];[118-143:26]"
"./levels/generated/GANGeneratorTF/10.txt","RobinBaumgartenAgent",WIN,100.00,0,0,14,0,0,0,0,9,207.22,18,14,5,0,0,9,1.00,-148,2.569393,31,90.00,0,9,""
"./levels/generated/GANGeneratorTF/3.txt","RobinBaumgartenAgent",WIN,100.00,0,0,14,0,0,0,0,9,218.18,19,8,1,0,0,7,1.00,-96,3.790806,27,88.00,0,8,""
"./levels/generated/GANGeneratorTF/5.txt","RobinBaumgartenAgent",LOSE,93.40,0,0,14,0,0,0,0,10,163.58,14,1,1,0,0,0,0.99,-59,1.795556,21,37.00,2,13,"[38-43:6];[98-104:7];[129-146:18]"
"./levels/generated/GANGeneratorTF/2.txt","RobinBaumgartenAgent",LOSE,66.19,0,0,16,0,0,0,0,6,119.71,10,4,2,0,0,2,1.00,-86,3.736797,32,70.00,0,13,""
"./levels/generated/GANGeneratorTF/7.txt","RobinBaumgartenAgent",WIN,100.00,0,0,14,0,0,0,0,8,141.82,12,2,0,0,0,2,0.97,-71,2.127382,22,52.00,0,9,""
"./levels/generated/GANGeneratorTF/4.txt","RobinBaumgartenAgent",LOSE,69.85,0,0,16,0,0,0,0,5,272.63,24,10,5,0,0,5,1.00,-149,6.000932,35,111.00,0,7,""
"./levels/generated/GANGeneratorTF/6.txt","RobinBaumgartenAgent",LOSE,57.51,0,0,16,0,0,0,0,6,174.54,15,0,0,0,0,0,1.00,-40,1.775228,15,38.00,0,4,"[75-82:8]"
"./levels/generated/GANGeneratorTF/9.txt","RobinBaumgartenAgent",LOSE,65.28,0,0,16,0,0,0,0,5,239.88,21,6,6,0,0,0,1.00,-163,9.243197,65,176.00,0,8,""
"./levels/generated/GANGeneratorTF/58.txt","AndySloaneAgent",TIME_OUT,79.76,0,0,0,0,0,0,0,44,204.06,19,2,1,0,0,1,0.96,-59,0.777211,14,29.00,1,12,"[93-100:8];[118-135:18];[139-149:11]"
"./levels/generated/GANGeneratorTF/8.txt","AndySloaneAgent",WIN,100.00,0,0,12,0,0,0,0,23,218.75,21,3,1,0,0,2,1.00,-43,0.973260,17,37.00,0,8,""
"./levels/generated/GANGeneratorTF/113.txt","AndySloaneAgent",LOSE,34.73,0,0,17,0,0,0,0,9,149.85,17,0,0,0,0,0,0.88,-45,2.045619,19,57.00,0,9,"[58-65:8];[121-137:17]"
"./levels/generated/GANGeneratorTF/91.txt","AndySloaneAgent",TIME_OUT,73.93,0,0,0,0,0,0,0,42,184.55,26,11,4,0,0,7,1.00,-199,3.616850,38,125.00,0,4,""
"./levels/generated/GANGeneratorTF/66.txt","AndySloaneAgent",LOSE,31.90,0,0,17,0,0,0,0,8,129.64,15,0,0,0,0,0,1.00,-105,5.695455,32,93.00,0,10,""
"./levels/generated/GANGeneratorTF/1.txt","AndySloaneAgent",TIME_OUT,37.89,0,0,0,0,0,0,0,51,131.41,15,0,0,0,0,0,0.59,-41,0.913262,11,21.00,2,8,"[56-62:7];[84-89:6];[91-112:22];[118-143:26]"
"./levels/generated/GANGeneratorTF/63.txt","AndySloaneAgent",TIME_OUT,38.45,0,0,0,0,0,0,0,49,129.64,16,0,0,0,0,0,1.00,-39,1.161565,27,38.00,0,10,"[59-64:6]"
