LevelPath,AgentName,GameStatus,Completion,Lives,Coins,TimeLeft,Mushrooms,FireFlowers,TileCoins,BricksDestroyed,Jumps,MaxXJump,MaxJumpAirTime,KillsTotal,KillsStomp,KillsFire,KillsShell,KillsFall,Coherence,Leniency,Linearity,GroundSegments,StructuralDiversity,UnjumpableHoles,TotalVerticalHoles,LargeVerticalHolesDetail
"levels/generated/GANGeneratorTF/22.txt","RobinBaumgartenAgent",LOSE,62.07,0,0,16,0,0,0,0,6,152.73,13,3,2,0,0,1,1.00,-71,4.648933,33,81.00,0,13,""
"levels/generated/GANGeneratorTF/23.txt","RobinBaumgartenAgent",LOSE,33.24,0,0,18,0,0,0,0,3,108.73,9,1,0,0,0,1,0.98,-138,5.010702,33,102.00,0,15,"[41-47:7]"
"levels/generated/GANGeneratorTF/24.txt","RobinBaumgartenAgent",WIN,100.00,0,0,13,0,0,0,0,8,174.54,15,0,0,0,0,0,1.00,-38,1.040043,17,36.00,0,8,"[71-76:6];[80-86:7]"
"levels/generated/GANGeneratorTF/25.txt","RobinBaumgartenAgent",WIN,100.00,0,0,14,0,0,0,0,8,130.91,11,0,0,0,0,0,1.00,-40,1.087003,17,43.00,0,5,""
"levels/generated/GANGeneratorTF/26.txt","RobinBaumgartenAgent",LOSE,36.39,0,0,18,0,0,0,0,2,86.96,8,3,3,0,0,0,1.00,-137,8.662354,45,173.00,0,3,""
"levels/generated/GANGeneratorTF/27.txt","RobinBaumgartenAgent",LOSE,30.50,0,0,18,0,0,0,0,3,119.62,10,0,0,0,0,0,0.98,-68,1.219659,19,39.00,2,12,"[38-45:8];[116-121:6];[124-145:22]"
"levels/generated/GANGeneratorTF/28.txt","RobinBaumgartenAgent",WIN,100.00,0,0,13,0,0,0,0,13,239.83,21,15,3,0,0,12,1.00,-106,2.735965,40,86.00,0,16,"[120-125:6]"
"levels/generated/GANGeneratorTF/29.txt","RobinBaumgartenAgent",WIN,100.00,0,0,14,0,0,0,0,10,250.91,22,8,3,0,0,5,1.00,-174,1.933469,23,91.00,0,8,""
"levels/generated/GANGeneratorTF/30.txt","RobinBaumgartenAgent",WIN,100.00,0,0,15,0,0,0,0,6,141.82,12,2,1,0,0,1,1.00,-76,2.421361,29,52.00,0,9,""
"levels/generated/GANGeneratorTF/31.txt","RobinBaumgartenAgent",WIN,100.00,0,0,14,0,0,0,0,7,130.91,11,0,0,0,0,0,1.00,-34,0.899584,16,28.00,0,13,""
