epoch;C_real;C_fake;GP;LossC;LossG;;;;;;;;;;;;;;;
1;31,8594;2,0781;0,0654;-29,1719;-2,1035;;;;;;;;;;;;;;;
2;88,4375;7,5234;0,9318;-71,6875;-7,5508;;;;;;;;;;;;;;;
3;139,25;19,4844;2,9339;-90,25;-19,5469;;;;;;;;;;;;;;;
4;159,5;35;4,0196;-84,25;-35,4688;;;;;;;;;;;;;;;
5;146,375;47,625;3,0868;-67,875;-47,4062;;;;;;;;;;;;;;;
6;126,5625;55,9688;2,0454;-50,1875;-54,6875;;;;;;;;;;;;;;;
7;106,75;53,9375;1,3824;-38,9375;-54,2812;;;;;;;;;;;;;;;
8;86,875;44,375;1,034;-32,1875;-43,6562;;;;;;;;;;;;;;;
9;71,25;30,4531;1,0335;-30,4688;-30,1719;;;;;;;;;;;;;;;
10;59,1562;18,8125;1,0641;-29,6562;-18,7031;;;;;;;;;;;;;;;
11;53,4688;13,2422;1,0686;-29,5312;-13,2031;;;;;;;;;;;;;;;
12;50,1875;10,5234;1,0408;-29,25;-10,5703;;;;;;;;;;;;;;;
13;48,3125;7,9336;1,1048;-29,3125;-7,8789;;;;;;;;;;;;;;;
14;47,1562;6,125;1,1687;-29,3906;-6,0977;;;;;;;;;;;;;;;
15;46,875;4,9844;1,2054;-29,7969;-4,957;;;;;;;;;;;;;;;
16;46,7812;5,168;1,1511;-30,1406;-5,1602;;Temps total d’entraînement ? 46 minutes 42 secondes;;;;;;;;;;;;;
17;46,2812;4,7969;1,1643;-29,8281;-4,8633;;;;;;;;;;;;;;;
18;46,625;4,5234;1,2123;-29,9688;-4,4375;;;;;;;;;;;;;;;
19;46,5938;4,5898;1,1839;-30,2188;-4,6289;;;;;;;;;;;;;;;
20;47,2188;5,582;1,1486;-30,1875;-5,6328;;;;;;;;;;;;;;;
21;47,3125;5,9531;1,1318;-30,0469;-6,0039;;;;;;;;;Run;LATENT_DIM;BATCH_SIZE;LR_C;LR_G;N_CRITIC;LAMBDA_GP
22;47,0312;5,7969;1,108;-30,1875;-5,7969;;;;;;;;;A;32;64;1 e-5;3 e-4;5;10
23;47,1875;5,8516;1,1313;-30,0156;-5,8867;;;;;;;;;B;64;64;5 e-5;1 e-4;3;5
24;47,5625;6,7461;1,1713;-29,1094;-6,707;;;;;;;;;;;;;;;
25;47,7812;7,2695;1,0872;-29,6406;-7,2734;;;;;;;;;;;;;;;
26;48,0312;8,5;1,0627;-28,9062;-8,5;;;;;;;;;;;;;;;
27;48,4375;9,3594;1,0897;-28,1562;-9,2422;;;;;;;;;;;;;;;
28;47,125;8,3203;1,1048;-27,7656;-8,2969;;;;;;;;;;;;;;;
29;46,6875;8,9453;1,0167;-27,5938;-8,9922;;;;;;;;;;;;;;;
30;45,9375;9,2734;1,003;-26,6562;-9,3203;;;;;;;;;;;;;;;
31;45,3125;10,0781;0,9165;-26,0312;-10,3438;;;;;;;;;;;;;;;
32;44,4688;10,5859;0,8818;-25,0156;-10,6406;;;;;;;;;;;;;;;
33;43,5312;10,7578;0,8196;-24,5469;-10,8203;;;;;;;;;;;;;;;
34;42,0938;10,0859;0,799;-24;-10,2266;;;;;;;;;;;;;;;
35;41,3438;9,6641;0,7472;-24,2031;-9,7891;;;;;;;;;;;;;;;
36;40,6562;9,6797;0,7209;-23,7812;-9,6016;;;;;;;;;;;;;;;
37;39,8125;9,4297;0,7137;-23,2344;-9,4219;;;;;;;;;;;;;;;
38;38,6875;8,625;0,711;-22,9531;-8,6719;;;;;;;;;;;;;;;
39;37,6562;7,9766;0,6905;-22,7969;-8,0078;;;;;;;;;;;;;;;
40;37,0312;7,6602;0,7018;-22,3906;-7,6641;;;;;;;;;;;;;;;
41;37,0938;8,3281;0,6786;-21,9688;-8,2578;;;;;;;;;;;;;;;
42;36,3438;7,6406;0,6596;-22,1094;-7,5898;;;;;;;;;;;;;;;
43;35,8125;7,4922;0,6701;-21,6094;-7,4766;;;;;;;;;;;;;;;
44;35,2812;7,2461;0,6434;-21,5781;-7,0391;;;;;;;;;;;;;;;
45;35,2188;7,4141;0,656;-21,2656;-7,5664;;;;;;;;;;;;;;;
46;35;8,0938;0,6149;-20,7656;-8,0703;;;;;;;;;;;;;;;
47;33,9688;7,1992;0,6211;-20,5625;-7,1367;;;;;;;;;;;;;;;
48;33,4375;6,9727;0,6179;-20,2656;-7,1641;;;;;;;;;;;;;;;
49;32,875;6,6289;0,6006;-20,2344;-6,5547;;;;;;;;;;;;;;;
50;32,1875;6,5664;0,5677;-19,9531;-6,4023;;;;;;;;;;;;;;;
51;31,8594;6,3047;0,6022;-19,5312;-6,2891;;;;;;;;;;;;;;;
52;31,25;5,8477;0,5763;-19,6875;-5,8984;;;;;;;;;;;;;;;
53;31,0156;6,2539;0,547;-19,3125;-6,1797;;;;;;;;;;;;;;;
54;30,5938;6,168;0,5363;-19,0625;-6,1602;;;;;;;;;;;;;;;
55;30,3594;6,1875;0,5188;-19,0156;-6,1328;;;;;;;;;;;;;;;
56;30,1406;6,1953;0,542;-18,5;-6,0859;;;;;;;;;;;;;;;
57;29,0312;5,5859;0,5254;-18,1875;-5,6133;;;;;;;;;;;;;;;
58;28,9219;5,9336;0,4846;-18,1562;-5,8203;;;;;;;;;;;;;;;
59;28,3281;5,4648;0,4931;-17,9375;-5,5352;;;;;;;;;;;;;;;
60;28,6562;6,1719;0,492;-17,5469;-6,0547;;;;;;;;;;;;;;;
61;28,2344;6,2422;0,4549;-17,4531;-6,1367;;;;;;;;;;;;;;;
62;28,2188;6,1367;0,4556;-17,5156;-6,1914;;;;;;;;;;;;;;;
63;27,8281;6,2695;0,4762;-16,7969;-6,3711;;;;;;;;;;;;;;;
64;27,7656;6,6094;0,4442;-16,7344;-6,5469;;;;;;;;;;;;;;;
65;27,7344;6,8867;0,4452;-16,4062;-6,8984;;;;;;;;;;;;;;;
66;27,8125;7,1992;0,4222;-16,4062;-7,293;;;;;;;;;;;;;;;
67;26,7969;6,6133;0,4286;-15,875;-6,6875;;;;;;;;;;;;;;;
68;26,9844;7,0391;0,4157;-15,7891;-7,0352;;;;;;;;;;;;;;;
69;27,0469;7,2617;0,4019;-15,7734;-7,2656;;;;;;;;;;;;;;;
70;25,8906;6,9414;0,3806;-15,1328;-6,8789;;;;;;;;;;;;;;;
